"cst","csts","des","al","kt","nik"
"01A32 ",M0039 ,LHM                           ,DALAM PASAR                                                 ,ROGOJAMPI      ,""
"01A32 ",M0036 ,LOGAM JAYA                    ,JL. GAJAH MADA 119                                          ,GENTENG        ,""
"01A32 ",M0370 ,LWP                           ,                                                            ,JEMBER         ,""
"01A32 ",M0425 ,MANGGONDADI                   ,                                                            ,ROGOJAMPI      ,""
"01A32 ",M0394 ,MAYAR JAYA                    ,                                                            ,GENTENG        ,""
"01A32 ",A3002 ,MERK. KOMURA                  ,JL. KALIANAK 75                                             ,SURABAYA       ,""
"01A32 ",A3004 ,MERK. SBR. BARU               ,JL. KALIANAK                                                ,SURABAYA       ,""
"01A32 ",A3005 ,MERK. SUPER KITCHEN           ,JL. KALIANAK 75                                             ,SURABAYA       ,""
"01A32 ",A3003 ,MERK. TRI JAYA BARU           ,JL. KALIANAK 75                                             ,SURABAYA       ,""
"01A32 ",A3001 ,MERK. TSR                     ,JL. KALIANAK 75                                             ,SURABAYA       ,""
"01A32 ",V0001 ,MH                            ,                                                            ,TABANAN        ,""
"01A32 ",M0013 ,MUSTIKA JAYA                  ,                                                            ,JEMBER         ,""
"01A32 ",V0027 ,PELANGI                       ,                                                            ,DENPASAR       ,""
"01A32 ",M0068 ,PIALA                         ,                                                            ,PASURUAN       ,""
"01A32 ",M0319 ,PODO MORO                     ,                                                            ,ROGOJAMPI      ,""
"01A32 ","01A32 ",PT. FRANDI RUKUN MANDIRI      ,JL. KENJERAN NO. 463-465                                    ,SURABAYA       ,""
"01A32 ",M0063 ,PURNAMA JAYA                  ,                                                            ,BLITAR         ,""
"01A32 ",M0048 ,RAME                          ,JL. JUANDA 42                                               ,JAJAG          ,""
"01A32 ",M0183 ,REJO                          ,                                                            ,BLITAR         ,""
"01A32 ",M0001 ,RIA                           ,                                                            ,BANGIL         ,""
"01A32 ",M0014 ,RUKUN JAYA                    ,DALAM PASAR TANJUNG 107                                     ,JEMBER         ,""
"01A32 ",M0411 ,SANTOSO                       ,                                                            ,MOJOKERTO      ,""
"01A32 ",V0005 ,SARI WANGI                    ,                                                            ,NEGARA         ,""
"01A32 ",M0118 ,SEDERHANA (PS.TURI)           ,                                                            ,SURABAYA       ,""
"01A32 ",M0299 ,SEJATI                        ,DUPAK GROSIR Lt.I BLOK D NO.29                              ,SURABAYA       ,""
"01A32 ",M0306 ,SEJATI BARU (PS.TURI)         ,                                                            ,SURABAYA       ,""
"01A32 ",M0266 ,SEMANGAT BARU                 ,                                                            ,GEMPOL         ,""
"01A32 ",P0035 ,SHD                           ,                                                            ,BANJARMASIN    ,""
"01A32 ",M0045 ,SINAR AGUNG                   ,                                                            ,AMBULU         ,""
"01A32 ",V0020 ,SINAR BINTANG                 ,JL. WATU RENGGONG 23                                        ,DENPASAR       ,""
"01A32 ",M0012 ,SINAR JAYA                    ,PASAR TANJUNG BAWAH 190-196                                 ,JEMBER         ,""
"01A32 ",V0031 ,SINAR JAYA                    ,DALAM PASAR BADUNG LT.II-14                                 ,DENPASAR       ,""
"01A32 ",M0082 ,SOLO                          ,                                                            ,KEDIRI         ,""
"01A32 ",V0013 ,SOLO                          ,                                                            ,TABANAN        ,""
"01A32 ",V0047 ,SRI RAHAYU                    ,JL. SULAWESI 68                                             ,DENPASAR       ,""
"01A32 ",M0164 ,SUMBER BARU                   ,                                                            ,MOJOKERTO      ,""
"01A32 ",M0577 ,SUMBER BARU                   ,JL. MANUKAN TAMA IG/48                                      ,SURABAYA       ,""
"01A32 ",M0123 ,SUMBER JAYA                   ,                                                            ,MOJOKERTO      ,""
"01A32 ",M0156 ,SUMBER MAKMUR                 ,JL. IRIAN JAYA 14 P                                         ,SITUBONDO      ,""
"01A32 ",M0092 ,SUMBER SARI                   ,                                                            ,WONOSARI       ,""
"01A32 ",M0626 ,SUPER KITCHEN                 ,JL. DHARMA HUSADA                                           ,SURABAYA       ,""
"01A32 ",M0201 ,SURYA ABADI                   ,                                                            ,KEDIRI         ,""
"01A32 ",V0039 ,SURYA MAS                     ,JL. GUNUNG KAWI 11                                          ,DENPASAR       ,""
"01A32 ",V0022 ,SURYA SANA                    ,DALAM PASAR BADUNG LT.II-104                                ,DENPASAR       ,""
"01A32 ",M0578 ,SURYA SUBUR                   ,MARGOMULYO PERMAI BLOK E/16-17                              ,SURABAYA       ,""
"01A32 ",V0052 ,TATA NIAGA                    ,                                                            ,DENPASAR       ,""
"01A32 ",M1539 ,THE KITCHENWARE PARADISE      ,JL. KENJERAN 463-465                                        ,SURABAYA       ,""
"01A32 ",M0126 ,TIGA JAYA (PS.TURI)           ,                                                            ,SURABAYA       ,""
"01A32 ",M0487 ,TRI JAYA BARU                 ,JL. KUPANG INDAH VIII/19                                    ,SURABAYA       ,""
"01A32 ",M0521 ,UTAMA (PS.TURI)               ,LANTAI IA-53-54                                             ,SURABAYA       ,""
"01A04 ",Y0053 ,"333/BT                        ",JL. DIPONEGORO 41                                           ,AMBON          ,""
"01A04 ",R0141 ,"38                            ",                                                            ,MENADO         ,""
"01A04 ",M0157 ,"44                            ",DALAM PASAR SELATAN 44                                      ,BANYUWANGI     ,""
"01A04 ",U0059 ,"58                            ",JL. MASJID RAYA 88 C                                        ,MAKASSAR       ,""
"01A04 ",V0129 ,"88                            ",GIANYAR                                                     ,DENPASAR-BALI  ,""
"01A04 ",Z0121 ,"8S                            ",                                                            ,SORONG         ,""
"01A04 ",W0070 ,A TJIANG                      ,                                                            ,CAKRA          ,""
"01A04 ",M1802 ,AA                            ,JL. PS. NO. 17                                              ,PAMEKASAN      ,""
"01A04 ",M1585 ,ABA TIMAN                     ,KALILOM LOR I Gg BUBUT NO.11                                ,SURABAYA       ,""
"01A04 ",M1413 ,ABADI                         ,                                                            ,SUKOREJO       ,""
"01A04 ",V0080 ,ABADI                         ,JL. BEDAHULU II/17                                          ,DENPASAR       ,""
"01A04 ",M1263 ,ABADI JAYA                    ,JL. RUNGKUT KIDUL INDUSTRI 45                               ,SURABAYA       ,""
"01A04 ",M1297 ,ABADI JAYA (BP. ABDULAH)      ,JL. SULUNG TENGAH 26 NO. 3                                  ,SURABAYA       ,""
"01A04 ",X0280 ,ABAS                          ,                                                            ,WAINGAPU       ,""
"01A04 ",X0140 ,ABC                           ,                                                            ,REO            ,""
"01A04 ",U0026 ,ABCD                          ,JL. BANDA 14                                                ,UJUNG PANDANG  ,""
"01A04 ",M0456 ,ABIMANYU                      ,JL. JAGIR WONOKROMO WETAN 19 A                              ,SURABAYA       ,""
"01A04 ",Q0171 ,ACIA                          ,                                                            ,SAMARINDA      ,""
"01A04 ",M0078 ,ADA                           ,JL. RAYA 73                                                 ,KRAKSAAN       ,""
"01A04 ",M1533 ,ADAM                          ,                                                            ,GRESIK         ,""
"01A04 ",K0018 ,AFFANDI SURYANTO              ,JL. KETANDAN 55                                             ,SOLO           ,""
"01A04 ",Y0165 ,AFID                          ,                                                            ,AMBON          ,""
"01A04 ",Y0108 ,AFUK                          ,JL. RIJALI 22-23                                            ,AMBON          ,""
"01A04 ",M0018 ,AGOGO                         ,JL. ANJASMORO 11 A                                          ,PASURUAN       ,""
"01A04 ",M0021 ,AGUNG                         ,JL. WR. SUPRATMAN NO. 40                                    ,PARE           ,""
"01A04 ",M1509 ,AGUNG                         ,                                                            ,KEDIRI         ,""
"01A04 ",X0107 ,AGUNG                         ,                                                            ,REO            ,""
"01A04 ",X0179 ,AGUNG                         ,                                                            ,RUTENG         ,""
"01A04 ",M1856 ,AGUNG B                       ,JL. PUCANG ANOM 32 A                                        ,SURABAYA       ,""
"01A04 ",K0166 ,AGUNG LESTARI                 ,JL. PASAR JEPON 21                                          ,BLORA          ,""
"01A04 ",M1870 ,AGUNG MANDIRI                 ,JL. PUSRI DESA SUMUR GONG                                   ,TUBAN          ,""
"01A04 ",M0109 ,AGUNG PERKASA                 ,PERTOKOAN SINAR GALAXY                                      ,PASAR TURI     ,""
"01A04 ",X0144 ,AGUS                          ,                                                            ,REO            ,""
"01A04 ",Z0079 ,AHMAD                         ,                                                            ,SORONG         ,""
"01A04 ",M0355 ,AKAS                          ,STAND PASAR ANOM BARU                                       ,SUMENEP        ,""
"01A04 ",W0013 ,AKASNA                        ,KOMPLEK TERMINAL MANDALIKA                                  ,CAKRA          ,""
"01A04 ",X0316 ,AKS                           ,                                                            ,ATAPUPU        ,""
"01A04 ",M0005 ,AKUAN                         ,DALAM PS.LT.I BLOK M 177-179                                ,KRIAN          ,""
"01A04 ",W0124 ,AL                            ,                                                            ,LARAT          ,""
"01A04 ",M0361 ,AL AMIEN                      ,PS. ATOM 22 JANTI PETERONGAN                                ,JOMBANG        ,""
"01A04 ",M1346 ,AL HUDA                       ,JL. SUMURGUNG PALANG                                        ,TUBAN          ,""
"01A04 ",V0115 ,ALASKA/ATLANTIC               ,                                                            ,SINGARAJA      ,""
"01A04 ",R0082 ,ALDI                          ,                                                            ,GORONTALO      ,""
"01A04 ",M0814 ,ALFA                          ,JL. LARAS LIRIS BLOK A-10                                   ,LAMONGAN       ,""
"01A04 ",U0141 ,ALFATIR                       ,                                                            ,MAKASSAR       ,""
"01A04 ",M1240 ,ALIM BUDIONO                  ,JL. LEBAK PERMAI Gg. 2 NO.41                                ,SURABAYA       ,""
"01A04 ",M0083 ,ALOHA                         ,JL. DHOHO 141                                               ,KEDIRI         ,""
"01A04 ",X0367 ,AMAFULL                       ,                                                            ,MAUMERE        ,""
"01A04 ",R0203 ,AMANDA JAYA                   ,JL. JENDRAL SUDIRMAN NO. 18                                 ,GORONTALO      ,""
"01A04 ",M0033 ,AMERTA                        ,JL. BRIGJEN KATAMSO 19                                      ,PROBOLINGGO    ,""
"01A04 ",M1249 ,AMIN                          ,                                                            ,GRESIK         ,""
"01A04 ",X0260 ,AMIN                          ,JL. IMANUEL 9                                               ,RUTENG         ,""
"01A04 ",T0114 ,AMRIN                         ,                                                            ,BAU-BAU        ,""
"01A04 ",M0849 ,ANA                           ,PASAR PABEAN                                                ,SURABAYA       ,""
"01A04 ",M1149 ,ANAM                          ,DALAM PASAR                                                 ,BONDOWOSO      ,""
"01A04 ",M1832 ,ANANTA                        ,JL. KUTAI NO. 58                                            ,MADIUN         ,""
"01A04 ",R0212 ,ANAS                          ,                                                            ,GORONTALO      ,""
"01A04 ",Q0231 ,ANDRI                         ,                                                            ,SAMARINDA      ,""
"01A04 ",M0330 ,ANEKA                         ,                                                            ,MOJOSARI       ,""
"01A04 ",M0942 ,ANEKA ELECTRIC                ,JL. RUNGKUT TENGAH 23                                       ,SURABAYA       ,""
"01A04 ",N0021 ,ANGGUN                        ,                                                            ,PONTIANAK      ,""
"01A04 ",X0334 ,ANGKASARIA                    ,                                                            ,ATAMBUA        ,""
"01A04 ",M1003 ,ANNA ELECTRIC                 ,PASAR TURI BARU BLOK C-32                                   ,PASAR TURI     ,""
"01A04 ",Z0098 ,ANSAR/TAKDIR                  ,PASAR SENTRAL 32                                            ,SORONG         ,""
"01A04 ",M0693 ,ANUGRAH                       ,PGS                                                         ,PASAR TURI     ,""
"01A04 ",O0051 ,ANUGRAH                       ,                                                            ,PALANGKARAYA   ,""
"01A04 ",W0141 ,ANUGRAH                       ,                                                            ,BIMA           ,""
"01A04 ",X0305 ,ANUGRAH                       ,                                                            ,TIMUR KUPANG   ,""
"01A04 ",X0325 ,ANUGRAH/ANG                   ,                                                            ,KUPANG         ,""
"01A04 ",M1031 ,ANYAR JAYA                    ,                                                            ,BLITAR         ,""
"01A04 ",M1327 ,ANYAR JAYA                    ,                                                            ,BLITAR         ,""
"01A04 ",K0024 ,APAK                          ,JL. MINTOROGO 392                                           ,JOGYA          ,""
"01A04 ",M0003 ,APOLLO                        ,                                                            ,KRIAN          ,""
"01A04 ",T0106 ,ARI                           ,JL. KAPITAL LAUT NO. 2                                      ,BAU-BAU        ,""
"01A04 ",X0254 ,ARIF JAYA                     ,PASAR INPRES-NAIKOTEN I                                     ,TIMUR KUPANG   ,""
"01A04 ",V0126 ,ARISTA GROSIR                 ,                                                            ,DENPASAR       ,""
"01A04 ",M1559 ,ARJUNA                        ,                                                            ,BANYUWANGI     ,""
"01A04 ",V0046 ,ARTA                          ,JL. SULAWESI 38                                             ,DENPASAR       ,""
"01A04 ",R0162 ,ARTA WIJAYA                   ,                                                            ,MENADO         ,""
"01A04 ",R0195 ,ARTA WIJAYA/AWTJ              ,JL. PANJAITAN 27 LINGKUNGAN II                              ,MENADO         ,""
"01A04 ",Y0043 ,ASC                           ,                                                            ,TERNATE        ,""
"01A04 ",M0096 ,ASIA BARU                     ,JL. K.H.HASIM ASHARI 24                                     ,LAMONGAN       ,""
"01A04 ",Z0156 ,ASLAN                         ,                                                            ,SORONG         ,""
"01A04 ",Y0171 ,ASLIYAN                       ,                                                            ,AMBON          ,""
"01A04 ",N0023 ,AT                            ,                                                            ,PONTIANAK      ,""
"01A04 ",M0198 ,ATOOM JAYA                    ,JL. GEMBONG                                                 ,SURABAYA       ,""
"01A04 ",Q0161 ,AWI                           ,                                                            ,TANJUNG SELOR  ,""
"01A04 ",R0225 ,AWJR                          ,                                                            ,MENADO         ,""
"01A04 ",W0102 ,AYEN                          ,                                                            ,AMPENAN        ,""
"01A04 ",X0235 ,AYUB                          ,                                                            ,MAUMERE        ,""
"01A04 ",X0374 ,B.H.W                         ,                                                            ,WAIKELO        ,""
"01A04 ",M1340 ,BADAR                         ,                                                            ,JOMBANG        ,""
"01A04 ",P0073 ,BALI ABADI                    ,                                                            ,BANJARMASIN    ,""
"01A04 ",M0037 ,BARES                         ,JL. RAYA 377                                                ,GENTENG        ,""
"01A04 ",M0002 ,BARUNA                        ,                                                            ,KRIAN          ,""
"01A04 ",Y0007 ,BAS                           ,JL. DR.SIWABESSY 35                                         ,AMBON          ,""
"01A04 ",M0364 ,BASIT                         ,                                                            ,SUMENEP        ,""
"01A04 ",M1247 ,BASKARA JAYA                  ,                                                            ,KERTOSONO      ,""
"01A04 ",M0630 ,BASUKI                        ,JL. TERATAI 516                                             ,BESUKI         ,""
"01A04 ",M0389 ,BEJO                          ,                                                            ,JEMBER         ,""
"01A04 ",V0149 ,BELLA VISTA                   ,JL. RAYA SESETAN NO. 149                                    ,DENPASAR       ,""
"01A04 ",X0200 ,BELU                          ,                                                            ,ENDE           ,""
"01A04 ",X0286 ,BELU                          ,                                                            ,ENDE           ,""
"01A04 ",X0250 ,BENASIR JAYA                  ,JL. VETERAN 10                                              ,TIMUR KUPANG   ,""
"01A04 ",M1822 ,BERKAT                        ,JL. TEMBAAN II NO. 37                                       ,SURABAYA       ,""
"01A04 ",M0410 ,BERKAT BINTANG TIMUR          ,                                                            ,PASAR TURI     ,""
"01A04 ",M0178 ,BERKAT JAYA                   ,                                                            ,PASAR TURI     ,""
"01A04 ",P0078 ,BERKAT SABAR                  ,                                                            ,BANJARMASIN    ,""
"01A04 ",M1838 ,BIBI MARKET                   ,                                                            ,SURABAYA       ,""
"01A04 ",M0029 ,BIMA                          ,JL. K.H.WAHID HASYIM 139-140                                ,BONDOWOSO      ,""
"01A04 ",M0490 ,BIMA                          ,                                                            ,KRIAN          ,""
"01A04 ",M1497 ,BIMA HASIL                    ,d/a. MOJOSANTREN NO.7-8                                     ,KRIAN          ,""
"01A04 ",R0147 ,BIMA JAYA                     ,JL. PANJAITAN NO. 17                                        ,MENADO         ,""
"01A04 ",M0179 ,BIMA SAKTI                    ,DALAM PASAR ANOM                                            ,SUMENEP        ,""
"01A04 ",T0063 ,BINA BAKTI PERSADA            ,                                                            ,KENDARI        ,""
"01A04 ",T0065 ,BINA BAKTI PERSADA            ,                                                            ,KENDARI        ,""
"01A04 ",M0372 ,BINTANG ABADI                 ,                                                            ,NGADILUWIH     ,""
"01A04 ",M0667 ,BINTANG BAHAGIA               ,Lt. I BLOK C/27-30                                          ,PASAR TURI     ,""
"01A04 ",M1159 ,BINTANG ELECTRIC              ,PGS. Lt. I BLOK E7 NO. 9-10                                 ,SURABAYA       ,""
"01A04 ",M0441 ,BINTANG JAYA                  ,                                                            ,BOJONEGORO     ,""
"01A04 ",P0109 ,BINTANG JAYA                  ,                                                            ,BANJARMASIN    ,""
"01A04 ",X0242 ,BINTANG MAS                   ,                                                            ,ATAMBUA        ,""
"01A04 ",M0762 ,BINTANG PLASTIK               ,                                                            ,MADIUN         ,""
"01A04 ",M0324 ,BINTANG TERANG(PGS)           ,                                                            ,SURABAYA       ,""
"01A04 ",K0431 ,BOLO PECAH                    ,                                                            ,WONOGIRI       ,""
"01A04 ",M0091 ,BOROBUDUR                     ,JL. JENDRAL SUDIRMAN 111                                    ,BANYUWANGI     ,""
"01A04 ",K0099 ,BP. DAMINI                    ,JL. PASAR 50                                                ,REMBANG        ,""
"01A04 ",M1491 ,BP. FADLI (TOKO BAROKAH)      ,JL. BLUMBUNGAN                                              ,PAMEKASAN      ,""
"01A04 ",M1419 ,BP. MOHAJIR                   ,                                                            ,BOJONEGORO     ,""
"01A04 ",M1725 ,BP. TOHA                      ,                                                            ,SURABAYA       ,""
"01A04 ",M1391 ,BP.HERMAN PENGINAPAN ABADI JY.,JL. SULUNG TENGAH NO. 24                                    ,SURABAYA       ,""
"01A04 ",T0087 ,BRAFO PLASTIK                 ,                                                            ,KENDARI        ,""
"01A04 ",O0033 ,BSM                           ,                                                            ,SAMPIT         ,""
"01A04 ",P0054 ,BTJ                           ,                                                            ,BANJARMASIN    ,""
"01A04 ",M0047 ,BU BIKUN                      ,                                                            ,PONOROGO       ,""
"01A04 ",M0684 ,BU TUTIK                      ,MEGARE 199                                                  ,SURABAYA       ,""
"01A04 ",O0072 ,BUANA PLASTIK                 ,JL. P. ANTASARI NO. 25                                      ,PANGKALANBUN   ,""
"01A04 ",W0042 ,BUDHI JAYA                    ,                                                            ,CAKRA          ,""
"01A04 ",O0061 ,BUDI AGUNG                    ,                                                            ,SAMPIT         ,""
"01A04 ",R0165 ,CAHAYA AGUNG/CUN              ,JL. PANJAITAN 4                                             ,MENADO         ,""
"01A04 ",R0226 ,CAHAYA BARU                   ,                                                            ,MENADO         ,""
"01A04 ",U0031 ,CAHAYA FAJAR                  ,JL. MANCINI BARU 45 D-E                                     ,UJUNG PANDANG  ,""
"01A04 ",W0095 ,CAHAYA INDAH                  ,JL. AA GEDE NGURAH 31                                       ,CAKRA          ,""
"01A04 ",M1836 ,CAHAYA LESTARI                ,JL. PUTAT NO. 45                                            ,SURABAYA       ,""
"01A04 ",M0392 ,CAHYONO                       ,                                                            ,MALANG         ,""
"01A04 ",S0006 ,CBP                           ,JL. HJDG PAWINDU 12                                         ,PALU           ,""
"01A04 ",M0225 ,CENDANA MAKMUR                ,ITC                                                         ,SURABAYA       ,""
"01A04 ",M0203 ,CENDRAWASIH                   ,JL. K.H.MANSYUR                                             ,SURABAYA       ,""
"01A04 ",M0019 ,CENTRAL                       ,                                                            ,PASURUAN       ,""
"01A04 ",U0064 ,CF                            ,JL. GATOT SUBROTO BARU 55                                   ,MAKASSAR       ,""
"01A04 ",W0138 ,CFM                           ,                                                            ,TOBELO         ,""
"01A04 ",Y0119 ,CIA                           ,                                                            ,AMBON          ,""
"01A04 ",X0361 ,CICI                          ,                                                            ,ENDE           ,""
"01A04 ",M1737 ,CIK EVA                       ,                                                            ,SURABAYA       ,""
"01A04 ",M1553 ,CIK SIANG                     ,PTC                                                         ,SURABAYA       ,""
"01A04 ",M1565 ,CIK SIANG                     ,                                                            ,SURABAYA       ,""
"01A04 ",R0116 ,CIS                           ,                                                            ,GORONTALO      ,""
"01A04 ",W0072 ,CITRA                         ,JL. MIRU 12 A                                               ,CAKRA          ,""
"01A04 ",W0074 ,CITRA PLASTIK                 ,                                                            ,CAKRA          ,""
"01A04 ",M1881 ,CP                            ,DUPAK GROSIR Lt.I BLOK BG 46                                ,SURABAYA       ,""
"01A04 ",M1563 ,CUSNUL/ANIK                   ,                                                            ,PORONG         ,""
"01A04 ",M0237 ,CV. DELAPAN-DELAPAN           ,KOMPLEK PERGUDANGAN MARGOMULYO                              ,SURABAYA       ,""
"01A04 ",M1045 ,CV. GARDEN MAKMUR/GARDEN PLSTK,TRENGGILIS NO.141                                           ,SURABAYA       ,""
"01A04 ",O0042 ,CV. HOKKY OMEGA               ,JL. ISKANDAR NO. 6                                          ,SAMPIT         ,""
"01A04 ","01A04 ",CV. JAYA RAYA                 ,JL. SONGOYUDAN 50                                           ,SURABAYA       ,""
"01A04 ",M1442 ,CV. MEGAH                     ,JL. MARGOMULYO PERMAI L 11                                  ,SURABAYA       ,""
"01A04 ",Q0280 ,CV. MITRA USAHA               ,                                                            ,BALIKPAPAN     ,""
"01A04 ",M1348 ,CV.HARLI PRIMA PROTALINDO     ,JL.TEUKU UMAR NO.103 A                                      ,JEMBER         ,""
"01A04 ",M0086 ,CV.JAWA TIMUR RAYA            ,JL. SLAMET RIYADI 103                                       ,LUMAJANG       ,""
"01A04 ",P0039 ,DA                            ,                                                            ,BANJARMASIN    ,""
"01A04 ",P0096 ,DAHA GALERI                   ,                                                            ,BANJARMASIN    ,""
"01A04 ",K0148 ,DANNY/MUNCIS                  ,JL. NGAGUK WALI 72                                          ,KUDUS          ,""
"01A04 ",M1310 ,DAPUR INDO                    ,JL. DUPAK GROSIR AG NO. 33-36                               ,SURABAYA       ,""
"01A04 ",M1751 ,DAPUR JAYA                    ,PASAR TURI BARU  DEPAN LIFT                                 ,PASAR TURI     ,""
"01A04 ",V0128 ,DAPUR PRIMA                   ,                                                            ,DENPASAR       ,""
"01A04 ",W0166 ,DAPUR YAMARI                  ,JL. RA. KARTINI NO. 8                                       ,LOMBOK         ,""
"01A04 ",M0884 ,DAVID                         ,JL. SIMO JAWAR 78 D                                         ,SURABAYA       ,""
"01A04 ",M1797 ,DAYAT                         ,                                                            ,SAMPANG        ,""
"01A04 ",Q0256 ,DENY                          ,                                                            ,TARAKAN        ,""
"01A04 ",M0664 ,DEPOT LILY                    ,LT.I B-75                                                   ,PASAR TURI     ,""
"01A04 ",M0026 ,DEWA MAS                      ,JL. VETERAN 23-25                                           ,JOMBANG        ,""
"01A04 ",W0121 ,DEWATA ELETRONIC              ,JL.MENJANGAN 29 GUBUG BATU                                  ,CAKRA          ,""
"01A04 ",X0320 ,DEWI                          ,                                                            ,ENDE           ,""
"01A04 ",P0107 ,DEWI MART                     ,                                                            ,BANJARMASIN    ,""
"01A04 ",X0160 ,DH                            ,                                                            ,MAUMERE        ,""
"01A04 ",T0103 ,DIAMOND                       ,                                                            ,KENDARI        ,""
"01A04 ",M0032 ,DIANA                         ,JL. JAWA 5 A                                                ,SITUBONDO      ,""
"01A04 ",Z0160 ,DJEINE TULUNG                 ,                                                            ,MERAUKE        ,""
"01A04 ",V0009 ,DJES                          ,STAND PASAR BADUNG LT.I/I                                   ,DENPASAR       ,""
"01A04 ",M0328 ,DJUNI                         ,                                                            ,MALANG         ,""
"01A04 ",M0510 ,DONO.S.                       ,JL. HAYAM WURUK 39                                          ,KEDIRI         ,""
"01A04 ",X0106 ,DP                            ,                                                            ,ATAPUPU        ,""
"01A04 ",M1083 ,DUA JAYA                      ,RUKO GRAHA NIAGA CITRA 13                                   ,KRIAN          ,""
"01A04 ",V0051 ,DUTA NIAGA                    ,                                                            ,DENPASAR       ,""
"01A04 ",M0057 ,DWI PUTRA                     ,                                                            ,JOMBANG        ,""
"01A04 ",K0111 ,EDY SANTOSO                   ,                                                            ,SEMARANG       ,""
"01A04 ",W0031 ,EKA TIRTA                     ,                                                            ,CAKRA          ,""
"01A04 ",M1858 ,EKO                           ,JL. BULAK CUPAT BARAT NO. 18 C                              ,SURABAYA       ,""
"01A04 ",M1043 ,EL-MALIK                      ,JL. JENDRAL SUDIRMAN 37                                     ,SUMENEP        ,""
"01A04 ",K0042 ,ELOK                          ,                                                            ,TEGAL          ,""
"01A04 ",Z0069 ,ESTER                         ,                                                            ,SORONG         ,""
"01A04 ",Z0125 ,FAEL                          ,                                                            ,SORONG         ,""
"01A04 ",Y0176 ,FAHRIA SALIM AL-KATIRE        ,BACAN                                                       ,TERNATE        ,""
"01A04 ",W0017 ,FAJAR INDAH                   ,                                                            ,CAKRA          ,""
"01A04 ",W0140 ,FAJAR INDAH II                ,                                                            ,CAKRA          ,""
"01A04 ",M0133 ,FAJAR JAYA                    ,LANTAI IF-59-61                                             ,PASAR TURI     ,""
"01A04 ",X0331 ,FAJAR MAS                     ,                                                            ,WAIBUBAK       ,""
"01A04 ",W0003 ,FAJAR TIMUR                   ,JL. AA GEDE NGURAH 29                                       ,CAKRA          ,""
"01A04 ",W0098 ,FAJAR TIMUR I                 ,                                                            ,CAKRA          ,""
"01A04 ",M1430 ,FAMILY                        ,JL. A YANI NO. 18 MOJOTRESNO                                ,M/AGUNG JOMBANG,""
"01A04 ",V0093 ,FARIDA                        ,                                                            ,DENPASAR       ,""
"01A04 ",R0020 ,FU                            ,                                                            ,GORONTALO      ,""
"01A04 ",F0058 ,GAJAH MAS                     ,                                                            ,SUMBAWA        ,""
"01A04 ",K0149 ,GANI MUNCIS                   ,                                                            ,KUDUS          ,""
"01A04 ",M1510 ,GARDEN PLACE                  ,PLAZA MARINA BLOK J NO. 6 Lt.2                              ,SURABAYA       ,""
"01A04 ",M1529 ,GARDEN PLASTIK                ,PLAZA MARINA                                                ,SURABAYA       ,""
"01A04 ",O0046 ,GARUDA MAS                    ,                                                            ,SAMPIT         ,""
"01A04 ",M0088 ,GARUDA SAKTI                  ,JL. PB SUDIRMAN 83                                          ,BONDOWOSO      ,""
"01A04 ",M0204 ,GAYA BARU                     ,JL. KYAI TAMIN 6                                            ,MALANG         ,""
"01A04 ",V0116 ,GEMA RIPA                     ,                                                            ,DENPASAR       ,""
"01A04 ",M1259 ,GENT0NG REJEKI                ,JL. RUNGKUT MAPAN UTARA DA/21                               ,SURABAYA       ,""
"01A04 ",X0151 ,GLORIA                        ,                                                            ,REO            ,""
"01A04 ",X0211 ,GLORIA                        ,                                                            ,RUTENG         ,""
"01A04 ",W0006 ,GNP                           ,                                                            ,CAKRA          ,""
"01A04 ",W0162 ,GPS                           ,                                                            ,AMPENAN        ,""
"01A04 ",K0324 ,GUDANG GERABAH                ,d/a. GUDANG KALORAN no. 50-52                               ,TEGAL          ,""
"01A04 ",M0101 ,GUNUNG                        ,PS.TURI BARU Lt.LG BLOK B4NO.8                              ,PASAR TURI     ,""
"01A04 ",X0095 ,GUNUNG KAWI (AT)              ,                                                            ,MAUMERE        ,""
"01A04 ",V0008 ,GUNUNG MAS                    ,JL. SULAWESI 65                                             ,DENPASAR       ,""
"01A04 ",Z0118 ,H. ALI                        ,                                                            ,SORONG         ,""
"01A04 ",Z0149 ,H. BELO                       ,                                                            ,JAYAPURA       ,""
"01A04 ",M1513 ,H. FADLI                      ,                                                            ,MADURA         ,""
"01A04 ",T0069 ,H. HAMZAH                     ,                                                            ,BAU-BAU        ,""
"01A04 ",O0049 ,H. JUNAIDI                    ,                                                            ,PANGKALABUN    ,""
"01A04 ",Z0106 ,H. MOH. NUR                   ,                                                            ,NABIRE         ,""
"01A04 ",S0152 ,H. SAFRI                      ,                                                            ,SERUI          ,""
"01A04 ",P0093 ,H. SHOLIKIN                   ,JL. VETERAN 46                                              ,KOTABARU       ,""
"01A04 ",M0234 ,H. SYAMSU                     ,                                                            ,BANGKALAN      ,""
"01A04 ",M1875 ,H. YUM ANTON                  ,                                                            ,GRESIK         ,""
"01A04 ",Q0191 ,HADI FAJAR                    ,                                                            ,SAMARINDA      ,""
"01A04 ",Q0176 ,HADI FAJAR (HFJR)             ,                                                            ,SAMARINDA      ,""
"01A04 ",M0161 ,HADI KARTIKA                  ,                                                            ,SUMENEP        ,""
"01A04 ",M0477 ,HADI PURNOMO                  ,                                                            ,SUMENEP        ,""
