"cst","csts","des","al","kt","nik"
"01A81 ",A8127 ,MERK. REMUJUNG                ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8042 ,MERK. RUSLI                   ,JL. MARGOMULYO PERMAI L 14-15                               ,SURABAYA       ,""
"01A81 ",A8084 ,MERK. SABAR SUBUR             ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8124 ,MERK. SAHABAT JAYA            ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8056 ,MERK. SAMSU                   ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8058 ,MERK. SANTOSO                 ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8125 ,MERK. SGJA                    ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8046 ,MERK. SIDO MAKMUR             ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8086 ,MERK. SIDOARJO                ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8109 ,MERK. SIONG PIN               ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8113 ,MERK. SUKSES                  ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8039 ,MERK. SUMBER AGUNG            ,JL. MARGOMULYO PERMAI L 14-15                               ,SURABAYA       ,""
"01A81 ",A8002 ,MERK. SUMBER BARU             ,JL. MARGOMULYO PERMAI L 14-15                               ,SURABAYA       ,""
"01A81 ",A8045 ,MERK. SUMBER MURNI            ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8010 ,MERK. SURYA                   ,JL. MARGOMULYO PERMAI L 14-15                               ,SURABAYA       ,""
"01A81 ",A8085 ,MERK. SURYA MAS               ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8043 ,MERK. SUSANTI                 ,JL. MARGOMULYO PERMAI L 14-15                               ,SURABAYA       ,""
"01A81 ",A8128 ,MERK. TATA NIAGA              ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8065 ,MERK. TB/DELTA MAS            ,JL. MARGOMULYO PERMAI L 14-15                               ,SURABAYA       ,""
"01A81 ",A8021 ,MERK. TEK VE                  ,JL. MARGOMULYO PERMAI L 14-15                               ,SURABAYA       ,""
"01A81 ",A8098 ,MERK. TEN                     ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8120 ,MERK. THP/UDH                 ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8126 ,MERK. TINI BANGGAI            ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8023 ,MERK. TJ                      ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8072 ,MERK. TJIN JAYA               ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8028 ,MERK. TJWAN                   ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8041 ,MERK. TM                      ,JL. MARGOMULYO PERMAI L 14-15                               ,SURABAYA       ,""
"01A81 ",A8003 ,MERK. TSB                     ,JL. MARGOMULYO PERMAI L 14-15                               ,SURABAYA       ,""
"01A81 ",A8006 ,MERK. WI                      ,JL. MARGOMULYO PERMAI L 14-15                               ,SURABAYA       ,""
"01A81 ",A8121 ,MERK. WIWID                   ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8094 ,MERK. YOYOK KRAMPUNG          ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",A8016 ,MERK. YUNI                    ,JL. MARGOMULYO PERMAI L 14-15                               ,SURABAYA       ,""
"01A81 ",A8014 ,MERK. ZANTA                   ,JL. MARGOMULYO PERMAI L 14-15                               ,SURABAYA       ,""
"01A81 ",A8110 ,MERK.H. NUR                   ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",M1033 ,MERPATI MAS                   ,JL. WAHID HASYIM 118                                        ,KEDIRI         ,""
"01A81 ",F0057 ,METRO                         ,                                                            ,LABUAN BAJO    ,""
"01A81 ",V0001 ,MH                            ,                                                            ,TABANAN        ,""
"01A81 ",M1804 ,MIA                           ,                                                            ,SURABAYA       ,""
"01A81 ",M0647 ,MILA                          ,JL. JAGALAN TIMUR 9                                         ,KRIAN          ,""
"01A81 ",V0010 ,MIN                           ,JL. DIPONEGORO 39                                           ,SINGARAJA      ,""
"01A81 ",W0157 ,MITRA MEDIA                   ,JL. TENUN NO. 11                                            ,LOMBOK-MATARAM ,""
"01A81 ",F0028 ,MITRA PERABOT                 ,                                                            ,ALAS-SUMBAWA   ,""
"01A81 ",M1560 ,MITRA PUTRA                   ,                                                            ,BOJONEGORO     ,""
"01A81 ",X0218 ,MITRA/DH                      ,JL. HASANUDIN 59                                            ,MAUMERE        ,""
"01A81 ",Q0007 ,MK                            ,                                                            ,SAMARINDA      ,""
"01A81 ",Q0056 ,MM                            ,                                                            ,BALIKPAPAN     ,""
"01A81 ",M0062 ,MORO SENENG                   ,JL. LAWU 59                                                 ,BLITAR         ,""
"01A81 ",M0147 ,MORO SENENG                   ,JL. MONGINSIDI 18                                           ,KEDIRI         ,""
"01A81 ",M0167 ,MORO SENENG                   ,HP KUSUMA 36                                                ,SUMENEP        ,""
